epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.931,0.9521,3.79912,1.36623,0.56296,0.71497,0.57247,0.42054,0.97212,3.48177,1.54615,9.46475e-05,9.46475e-05,9.46475e-05
2,1837.47,1.00761,2.37107,1.4435,0.85046,0.90621,0.89134,0.62875,0.87281,2.30059,1.47159,0.000186219,0.000186219,0.000186219
3,2738.59,0.99401,1.88667,1.44128,0.87505,0.76053,0.89338,0.6167,0.89071,2.24668,1.49117,0.000274016,0.000274016,0.000274016
4,3642.08,0.9609,1.67879,1.41555,0.90266,0.83857,0.93418,0.70404,0.86029,2.19482,1.42643,0.000269012,0.000269012,0.000269012
5,4549.73,0.93097,1.54912,1.37296,0.85603,0.91594,0.9199,0.68761,0.81769,1.73098,1.40532,0.000263349,0.000263349,0.000263349
6,5443.72,0.91326,1.44806,1.3766,0.9062,0.86797,0.96329,0.73762,0.80697,1.7627,1.36905,0.000257686,0.000257686,0.000257686
7,6345.79,0.89091,1.34384,1.32486,0.96662,0.85738,0.96048,0.74045,0.77527,1.47385,1.34644,0.000252023,0.000252023,0.000252023
8,7255.87,0.87613,1.27539,1.31563,0.94432,0.85288,0.96207,0.74038,0.75037,1.64868,1.30935,0.00024636,0.00024636,0.00024636
9,8159,0.84641,1.19129,1.28758,0.92572,0.94253,0.98456,0.77507,0.73407,1.21801,1.27595,0.000240698,0.000240698,0.000240698
10,9050.89,0.84532,1.17636,1.29051,0.91598,0.95514,0.97283,0.76156,0.75185,1.32423,1.32029,0.000235035,0.000235035,0.000235035
11,9944.73,0.84526,1.08341,1.2782,0.92676,0.96229,0.98521,0.78148,0.73168,1.22388,1.27364,0.000229372,0.000229372,0.000229372
12,10839.5,0.82738,1.04706,1.26936,0.91888,0.97203,0.98673,0.79061,0.69243,1.03252,1.22812,0.000223709,0.000223709,0.000223709
13,11754,0.82372,1.01431,1.26587,0.91585,0.95331,0.96982,0.75013,0.75508,1.09101,1.29769,0.000218046,0.000218046,0.000218046
14,12658.2,0.81823,0.97244,1.25284,0.88558,0.91216,0.96483,0.76894,0.71829,1.20586,1.24215,0.000212384,0.000212384,0.000212384
15,13568.4,0.81151,0.97136,1.25145,0.97017,0.95234,0.98731,0.81184,0.68601,1.00271,1.21214,0.000206721,0.000206721,0.000206721
16,14470.8,0.79613,0.94064,1.2426,0.93288,0.98198,0.98909,0.78989,0.70453,0.9573,1.22588,0.000201058,0.000201058,0.000201058
17,15379.5,0.79592,0.91328,1.22679,0.97767,0.96003,0.99222,0.81585,0.68368,0.85316,1.21343,0.000195395,0.000195395,0.000195395
18,16280.3,0.77573,0.88408,1.21646,0.9883,0.96959,0.99035,0.81026,0.66652,0.84312,1.20651,0.000189732,0.000189732,0.000189732
19,17176.8,0.7591,0.85632,1.20741,0.95738,0.96396,0.98862,0.80932,0.67559,0.90563,1.20838,0.00018407,0.00018407,0.00018407
