epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36913.5,0.6886,0.58007,1.13919,0.98298,0.97741,0.99426,0.85544,0.54012,0.48166,1.06804,0.000169913,0.000169913,0.000169913
43,37780.1,0.67597,0.5813,1.13233,0.98624,0.98231,0.99395,0.85919,0.54895,0.4794,1.07246,0.000167081,0.000167081,0.000167081
44,38620,0.63907,0.56205,1.11541,0.97638,0.98107,0.99385,0.84684,0.55189,0.4696,1.07835,0.00016425,0.00016425,0.00016425
45,39478.7,0.66887,0.5523,1.13587,0.97739,0.97801,0.99442,0.86919,0.53377,0.45815,1.05811,0.000161418,0.000161418,0.000161418
46,40323.8,0.65234,0.5376,1.11688,0.98859,0.98902,0.99189,0.86903,0.51237,0.47818,1.04058,0.000158587,0.000158587,0.000158587
47,41165,0.64111,0.53069,1.10184,0.99064,0.99699,0.99491,0.8757,0.53355,0.42703,1.04293,0.000155756,0.000155756,0.000155756
48,42010.9,0.64962,0.55221,1.12226,0.98863,0.98198,0.99451,0.8785,0.5055,0.42772,1.03757,0.000152924,0.000152924,0.000152924
49,42860.7,0.62213,0.53586,1.09589,0.98685,0.98448,0.99366,0.87862,0.50561,0.44547,1.03803,0.000150093,0.000150093,0.000150093
50,43741,0.65344,0.54522,1.12215,0.98881,0.98826,0.99493,0.87986,0.5072,0.40754,1.03451,0.000147261,0.000147261,0.000147261
51,44603,0.63117,0.52119,1.10531,0.99545,0.99095,0.99482,0.88916,0.50399,0.40814,1.03039,0.00014443,0.00014443,0.00014443
52,45452.1,0.65451,0.53333,1.11743,0.98267,0.99366,0.99385,0.88033,0.50777,0.41193,1.03201,0.000141599,0.000141599,0.000141599
53,46302.9,0.64627,0.51884,1.10923,0.98719,0.99441,0.99409,0.88464,0.49119,0.41025,1.01985,0.000138767,0.000138767,0.000138767
54,47153.6,0.6115,0.50221,1.08952,0.98738,0.99324,0.99482,0.88945,0.48852,0.39921,1.0196,0.000135936,0.000135936,0.000135936
55,48003.3,0.61272,0.50444,1.10553,0.99032,0.99684,0.99433,0.89606,0.49438,0.38091,1.02113,0.000133104,0.000133104,0.000133104
56,48919,0.61675,0.50473,1.09889,0.99743,0.98874,0.99489,0.888,0.49565,0.40118,1.02369,0.000130273,0.000130273,0.000130273
57,49767.6,0.6177,0.49527,1.09215,0.98818,0.9914,0.9948,0.88486,0.49264,0.38979,1.01387,0.000127442,0.000127442,0.000127442
58,50609.7,0.61636,0.48453,1.09332,0.98907,0.99099,0.99464,0.89055,0.4787,0.3771,0.99889,0.00012461,0.00012461,0.00012461
59,51455.9,0.59858,0.47664,1.08235,0.9957,0.98422,0.99473,0.89119,0.48186,0.38251,1.00766,0.000121779,0.000121779,0.000121779
60,52299.5,0.6178,0.50461,1.10069,0.9916,0.99324,0.99478,0.89717,0.47488,0.3763,1.00245,0.000118947,0.000118947,0.000118947
61,53142,0.61689,0.48541,1.09455,0.98722,0.99141,0.99383,0.89627,0.46977,0.3818,1.00435,0.000116116,0.000116116,0.000116116
62,96466.9,0.60736,0.48306,1.09591,0.9763,1,0.99454,0.89367,0.47661,0.3707,1.00037,0.000113285,0.000113285,0.000113285
63,97496.6,0.61124,0.48805,1.09388,0.99195,0.9955,0.99493,0.90808,0.45212,0.35717,0.98807,0.000110453,0.000110453,0.000110453
64,99770,0.60493,0.4812,1.08525,0.99005,0.99369,0.99438,0.8882,0.47537,0.37415,1.00886,0.000107622,0.000107622,0.000107622
65,100854,0.60849,0.47444,1.08568,0.98933,0.99386,0.99493,0.90379,0.45232,0.34976,0.99055,0.00010479,0.00010479,0.00010479
66,101931,0.58655,0.47002,1.07633,0.9906,0.99057,0.99473,0.9063,0.44295,0.35151,0.98086,0.000101959,0.000101959,0.000101959
67,110166,0.57788,0.45843,1.06921,0.99066,0.99292,0.99448,0.91169,0.43427,0.34403,0.9765,9.91276e-05,9.91276e-05,9.91276e-05
68,111025,0.57615,0.45697,1.07115,0.99024,0.99406,0.99473,0.90715,0.43687,0.35877,0.97275,9.62962e-05,9.62962e-05,9.62962e-05
69,111881,0.58662,0.46193,1.07196,0.99671,0.99324,0.99498,0.90972,0.44391,0.33493,0.974,9.34648e-05,9.34648e-05,9.34648e-05
70,112736,0.56532,0.44596,1.07076,0.98766,0.99331,0.99475,0.92362,0.42056,0.33323,0.96003,9.06334e-05,9.06334e-05,9.06334e-05
71,113606,0.56491,0.43438,1.06279,0.99021,0.99099,0.99473,0.90781,0.43786,0.34175,0.96591,8.7802e-05,8.7802e-05,8.7802e-05
72,114467,0.57172,0.42755,1.06585,0.98704,0.99343,0.99498,0.9138,0.42999,0.3304,0.9615,8.49706e-05,8.49706e-05,8.49706e-05
73,115316,0.56885,0.43537,1.07238,0.99189,0.99775,0.99498,0.91646,0.4216,0.31933,0.96018,8.21392e-05,8.21392e-05,8.21392e-05
74,116167,0.56652,0.43566,1.06039,0.98548,1,0.99386,0.91267,0.4168,0.32733,0.9584,7.93078e-05,7.93078e-05,7.93078e-05
75,117022,0.55848,0.44576,1.05762,0.98481,1,0.99418,0.92108,0.41457,0.32215,0.95266,7.64764e-05,7.64764e-05,7.64764e-05
76,117882,0.55788,0.43538,1.05604,0.98091,1,0.99439,0.92768,0.40997,0.32016,0.94819,7.3645e-05,7.3645e-05,7.3645e-05
77,118736,0.55482,0.42403,1.05627,0.97121,0.99775,0.9945,0.91526,0.41376,0.33156,0.95136,7.08136e-05,7.08136e-05,7.08136e-05
78,119588,0.55285,0.425,1.05348,0.97713,0.99639,0.99498,0.91253,0.42323,0.32343,0.96112,6.79822e-05,6.79822e-05,6.79822e-05
79,120449,0.54359,0.41496,1.05653,0.99365,0.99513,0.995,0.92085,0.40814,0.3118,0.94857,6.51508e-05,6.51508e-05,6.51508e-05
80,121305,0.54614,0.41868,1.04408,0.99128,0.99402,0.99498,0.92118,0.40739,0.31804,0.94662,6.23194e-05,6.23194e-05,6.23194e-05
81,122155,0.54093,0.40998,1.05591,0.98412,0.99456,0.995,0.91464,0.40854,0.31119,0.9498,5.9488e-05,5.9488e-05,5.9488e-05
82,123015,0.55336,0.42326,1.05635,0.98542,0.9955,0.995,0.92111,0.40615,0.31043,0.94621,5.66566e-05,5.66566e-05,5.66566e-05
83,123874,0.5307,0.41255,1.04406,0.98938,0.99775,0.995,0.92593,0.39119,0.30985,0.93341,5.38252e-05,5.38252e-05,5.38252e-05
84,124760,0.52887,0.40913,1.04062,0.98024,0.9955,0.99498,0.92698,0.39067,0.30936,0.93142,5.09938e-05,5.09938e-05,5.09938e-05
85,125617,0.53691,0.40101,1.04521,0.97714,0.99775,0.99498,0.92689,0.38991,0.31039,0.93293,4.81624e-05,4.81624e-05,4.81624e-05
86,126469,0.53795,0.40699,1.05026,0.98253,0.99324,0.99498,0.9284,0.39683,0.30341,0.93412,4.5331e-05,4.5331e-05,4.5331e-05
87,127320,0.535,0.41812,1.04422,0.98378,0.9959,0.995,0.92347,0.38806,0.30213,0.93175,4.24996e-05,4.24996e-05,4.24996e-05
88,128178,0.52633,0.40188,1.0457,0.98874,0.99775,0.995,0.92741,0.38637,0.30544,0.93578,3.96682e-05,3.96682e-05,3.96682e-05
89,129032,0.5244,0.40129,1.04283,0.98394,1,0.99496,0.91747,0.3875,0.29952,0.93211,3.68368e-05,3.68368e-05,3.68368e-05
90,129880,0.5239,0.40442,1.03796,0.98008,1,0.99473,0.92186,0.3847,0.29826,0.93021,3.40054e-05,3.40054e-05,3.40054e-05
91,130726,0.45225,0.37547,1.01239,0.97954,0.9955,0.99484,0.9216,0.40403,0.31397,0.94106,3.1174e-05,3.1174e-05,3.1174e-05
92,131552,0.44081,0.35336,1.00176,0.98239,0.99311,0.99496,0.92571,0.39467,0.30604,0.93698,2.83426e-05,2.83426e-05,2.83426e-05
93,132424,0.42242,0.33985,0.98661,0.9805,0.99909,0.995,0.92868,0.39461,0.30083,0.93392,2.55112e-05,2.55112e-05,2.55112e-05
94,133427,0.41807,0.32467,0.97887,0.9866,0.99248,0.995,0.93005,0.39036,0.2999,0.93321,2.26798e-05,2.26798e-05,2.26798e-05
95,134335,0.42112,0.33371,0.98143,0.98794,0.99274,0.995,0.93079,0.38794,0.29815,0.9296,1.98484e-05,1.98484e-05,1.98484e-05
96,135171,0.42117,0.32306,0.97573,0.97855,0.99757,0.99498,0.93272,0.38344,0.29802,0.92618,1.7017e-05,1.7017e-05,1.7017e-05
97,136023,0.41471,0.32898,0.98288,0.97824,0.99985,0.99498,0.92843,0.38639,0.29871,0.92761,1.41856e-05,1.41856e-05,1.41856e-05
98,136864,0.40843,0.32913,0.97377,0.98023,0.99863,0.99498,0.93454,0.37633,0.29599,0.92193,1.13542e-05,1.13542e-05,1.13542e-05
99,137702,0.41392,0.33108,0.97505,0.97823,0.99986,0.99498,0.93282,0.3757,0.29762,0.92126,8.5228e-06,8.5228e-06,8.5228e-06
100,138543,0.40548,0.32244,0.96386,0.97822,1,0.99498,0.93455,0.37415,0.29201,0.92173,5.6914e-06,5.6914e-06,5.6914e-06
